AlbumID,AristID,AlbumName,NumSongs,YearReleased,RunTime
1,1,AM,12,2013,41
2,1,Favourite Worst Nightmare,12,2007,37
3,2,Hot Fuss,12,2004,49
4,2,Sam's Town,12,2006,44
5,3,American Idiot,9,2004,65
6,3,Nimrod,18,1997,49
7,4,Strange Desire,11,2014,39
8,4,Gone Now,12,2017,40
9,5,Riot!,12,2007,42
10,5,Brand New Eyes,11,2009,40
11,6,Voulez-Vous,13,1979,54
12,6,Arrival,12,1976,41
13,7,The Fame,15,2008,54
14,7,Born This Way,14,2011,61
15,8,Animal,18,2010,66
16,8,Cannibal,12,2010,43
17,9,Lover,18,2019,61
18,9,reputation,15,2017,55
19,10,Blonde,17,2016,60
20,10,channel ORANGE,17,2012,55
21,11,Waiting to Spill,10,2022,47
22,11,When We Were Friends,9,2019,37
23,12,Is This It,11,2001,35
24,12,The New Abnormal ,9,2020,45
25,13,Jinx,10,2019,27
26,13,Ice Melt,10,2021,29
27,14,NEVER ENOUGH,18,2023,66
28,14,Freudian,10,2017,44
29,15,OK Computer,12,1997,53
30,15,In Rainbows,10,2007,42
31,16,Trick,16,2012,37
32,16,Race,13,2010,30
33,17,Happier Than Ever,16,2021,56
34,17,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019,42
35,18,The Lo-Fis,15,2020,25
36,18,Gemini Rights,10,2022,35
37,19,Salad Days,11,2014,34
38,19,2,11,2012,31
39,20,Circles,12,2020,48
40,20,Swimming,13,2018,58
