ArtistID,Name,Label,BirthPlace,Country,Genre
1,Arctic Monkeys,Domino,Sheffield,ENG,Indie Rock
2,The Killers,Island Records,"Las Vegas, Nevada",US,Indie Rock
3,Green Day,Reprise,"East Bay, California",US,Punk Rock
4,Bleachers,Dirty Hit,"Bergenfield, New Jersey",US,Indie Pop
5,Paramore,Fueled by Ramen,"Franklin, Tennessee",US,Pop-Punk
6,ABBA,Polydor,"Stockholm, SWDN",SWDN,Disco
7,Lady Gaga,Interscope,"New York, New York",US,Pop
8,Kesha,Kemosabe,"Los Angeles, California",US,Pop
9,Taylor Swift,Republic,"West Reading, Pennsylvania",US,Pop
10,Frank Ocean,Blonded,"New Orleans, Louisiana",US,Alternative R&B
11,The Backseat Lovers,Capitol Records,"Provo, Utah",US,Indie Rock
12,The Strokes,Cult,New York City,US,Indie Rock
13,Crumb,N/A,"Boston, Massachusetts",US,Indie Rock
14,Daniel Ceasar,Republic,"Oshawa, Ontario",CAN,R&B
15,Radiohead,EMI,Oxfodshire,ENG,Alternative Rock
16,Alex G,Domino,"Havertown, Pennsylvania",US,Indie Rock
17,Billie Eilish,Darkroom,"Los Angeles, California",US,Pop
18,Steve Lacy,RCA,"Compton, California",US,Alternative R&B
19,Mac Demarco,Coptured Tracks,"Edmonton, Alberta",CAN,Indie Rock
20,Mac Miller,Rostrum,"Pittsburgh, Pennsylvania",US,Hip Hop
