SongID,AlbumID,ArtistID,SongName,Runtime
1,1,1,Do I Wanna Know?,272
2,1,1,R U Mine?,201
3,1,1,One For The Road,206
4,1,1,Arabella,207
5,1,1,I Want It All,185
6,1,1,No. 1 Party Anthem,243
7,1,1,Mad Sounds,215
8,1,1,Fireside,181
9,1,1,Why'd You Only Call Me When You're High?,161
10,1,1,Snap Out Of It,193
11,1,1,Knee Socks,257
12,1,1,I Wanna Be Yours,183
13,2,1,Brainstorm,170
14,2,1,Teddy Picker,160
15,2,1,D Is For Dangerous,134
16,2,1,Balaclava,167
17,2,1,Fluorescent Adolescent,173
18,2,1,Only Ones Who Know,181
19,2,1,Do Me A Favour,405
20,2,1,This House Is A Circus,189
21,2,1,"If You Were There, Beware",274
22,2,1,The Bad Thing,143
23,2,1,Old Yellow Bricks,187
24,2,1,505,253
25,3,2,Jenny Was A Friend Of Mine,243
26,3,2,Mr. Brightside,222
27,3,2,Smile Like You Mean It,234
28,3,2,Somebody Told Me,197
29,3,2,All These Things That I've Done,301
30,3,2,"Andy, You're A Star",194
31,3,2,On Top,258
32,3,2,Change Your Mind,192
33,3,2,Believe Me Natalie,305
34,3,2,Midnight Snow,243
35,3,2,Everything Will Be Alright,344
36,3,2,Glamorous Indie Rock & Roll,254
37,4,2,Sam's Town,246
38,4,2,Enterlude,49
39,4,2,When You Were Young,220
40,4,2,Bling (Confession Of A King),248
41,4,2,For Reasons Unknown,212
42,4,2,Read My Mind,246
43,4,2,Uncle Johnny,265
44,4,2,Bones,227
45,4,2,My List,248
46,4,2,This River Is Wild,278
47,4,2,Why Do I Keep Counting?,244
48,4,2,Exitlude,146
49,5,3,American Idiot,176
50,5,3,Jesus of Suburbia,546
51,5,3,Holiday/Boulevard of Broken Dreams,493
52,5,3,Are We the Waiting/St. Jimmy,338
53,5,3,Give Me Novacaine/She's a Rebel,326
54,5,3,Extraordinary Girl/Letterbomb,460
55,5,3,Wake Me up When September Ends,285
56,5,3,Homecoming,558
57,5,3,Whatsername,257
